ABTEILUNG;NUMMER;CODE;NAME;EINHEIT;REF_UNTEN M;REF_OBEN M;REF_UNTEN W;REF_OBEN W
BLUT-CHEMIE;38259;MetQuotMirta; metabolischer Quotient;;0.2;1.2;0.2;1.2
BLUT-CHEMIE;38229;MetQuoTraz; metab. Quotient ;;0.04;0.22;0.04;0.22
BLUT-CHEMIE;38256;MetQuotSer; metabolischer Quotient;;1.7;3.4;1.7;3.4
BLUT-CHEMIE;41836;MetQuotSer; Quotient N-Desmethyls./Sert.;;1.7;3.4;1.7;3.4
BLUT-CHEMIE;38257;MetQuotVenla; Quotient Desmethylv./Venlaf.;;2.7;7.7;2.7;7.7
BLUT-CHEMIE;21630;Metro;Metronidazol;µmol/l;58;175;58;175
BLUT-CHEMIE;14312;Mg-AU;Magnesium;mmol/l;0.7;1.1;0.7;1.1
BLUT-CHEMIE;21503;MgE;Mg erythrozytär;mmol/lEc;1.65;2.65;1.65;2.65
BLUT-CHEMIE;13959;MgE;Mg erythrozytär;mmol/l;1.6;2.65;1.6;2.65
BLUT-CHEMIE;10874;Mianserin;Mianserin;µg/l;15;70;15;70
BLUT-CHEMIE;11521;Mianserin;Mianserin;µmol/l;0.06;0.27;0.06;0.27
BLUT-CHEMIE;41831;MIRTAZ;Mirtazapin;nmol/l;113;300;113;300
BLUT-CHEMIE;13887;MIRTAZ;Mirtazepin;nmol/l;150;300;150;300
BLUT-CHEMIE;22186;MIRTAZ; Mirtazapin;nmol/l;113;300;113;300
BLUT-CHEMIE;41838;MIRTAZ-Titel;Mirtazapin:;;;;;
BLUT-CHEMIE;38260;MIRTAZ-Titel;Mirtazapin:;;;;;
BLUT-CHEMIE;15726;MN frei;Metanephrin frei;nmol/l;0.03;0.85;0.03;0.85
BLUT-CHEMIE;15727;MN total;Metanephrin total;nmol/l;0.47;9.61;0.47;9.61
BLUT-CHEMIE;30067;MN total;Metanephrin total;nmol/l;0.66;13.45;0.66;13.45
BLUT-CHEMIE;13888;Moclobemid;Moclobemid;µmol/l;1.1;3.72;1.1;3.72
BLUT-CHEMIE;19348;MODA;Modafinil;mg/l;2;3;2;3
BLUT-CHEMIE;22185;MONOHYDRO;10-OH-Carbamazepin;mg/l;;;;
BLUT-CHEMIE;21374;MONOHYDRO;Monohydroxycarbamazepin;mg/l;10;30;10;30
BLUT-CHEMIE;13969;MPA;Mycophenolat (HPLC);mg/l;<;5;<;5
BLUT-CHEMIE;37158;M-Protein; M-Protein (densitometrisch);g/l;;;;
BLUT-CHEMIE;29999;MT frei;Methoxytyramine frei;nmol/l;<;0.06;<;0.06
BLUT-CHEMIE;30000;MT total;Methoxytyramine total;nmol/l;0.42;2.99;0.42;2.99
BLUT-CHEMIE;30069;MT total;Methoxytyramine total;nmol/l;0.59;4.19;0.59;4.19
BLUT-CHEMIE;30347;MTX;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;38536;MTX;Methotrexat ;µmol/l;;;;
BLUT-CHEMIE;37879;MTX20uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;30348;MTX20uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;37880;MTX400uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;30349;MTX400uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;37881;MTX8000uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;30350;MTX8000uM;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;11559;Mycophenolat;Mycophenolat;mg/l;2;4.5;2;4.5
BLUT-CHEMIE;14453;MYOGLB-Q-DXI;Myoglobin quant.;µg/l;<;105;<;65
BLUT-CHEMIE;14592;Na-AU;Natrium;mmol/l;136;144;136;144
BLUT-CHEMIE;22480;Na-AU-Di;Natrium (Dialysat);mmol/l;;;;
BLUT-CHEMIE;92;N-AMIKA;Amikacin (nach);mg/l;20;30;20;30
BLUT-CHEMIE;30909;N-Cloba;N-Desmeth.-Clobaz. ;µmol/l;1.05;10.5;1.05;10.5
BLUT-CHEMIE;21501;N-Des;N-Desmethylmethsuximid;mg/l;10;40;10;40
BLUT-CHEMIE;10876;Nefazodon;Nefazodon;µg/l;50;1000;50;1000
BLUT-CHEMIE;43069;Neopt 0-18;Neopterin;ng/ml;<;4;<;4
BLUT-CHEMIE;43070;Neopt 18-75;Neopterin;ng/ml;<;2.5;<;2.5
BLUT-CHEMIE;43071;Neopt 75-999;Neopterin;ng/ml;<;5.5;<;5.5
BLUT-CHEMIE;21449;Neopterin;Neopterin;ng/ml;;;;
BLUT-CHEMIE;37696;NH3-Pl;Ammoniak (Plasma);µmol/l;<;48;<;48
BLUT-CHEMIE;11752;Nickel;Nickel;µg/l;;5;;5
BLUT-CHEMIE;15728;NMN frei;Normetanephrin frei;nmol/l;0.04;1.39;0.04;1.39
BLUT-CHEMIE;15729;NMN total;Normetanephrin total;nmol/l;1.53;26.2;1.53;26.2
BLUT-CHEMIE;30068;NMN total;Normetanephrin total;nmol/l;2.14;36.65;2.14;36.65
BLUT-CHEMIE;91;N-NETIL;Netilmycin (nach);mg/l;6;12;6;12
BLUT-CHEMIE;29996;Noradre; Noradrenalin;nmol/l;0.64;6.55;0.64;6.55
BLUT-CHEMIE;32453;Norclozapin; Norclozapin;µmol/l;;;;
BLUT-CHEMIE;38139;Nordazepam;Nordazepam;ng/ml;20;800;20;800
BLUT-CHEMIE;10866;Norfluoxetin; Norfluoxetin;µmol/l;;;;
BLUT-CHEMIE;37762;NORQUET; Norquetiapin;nmol/l;339;848;339;848
BLUT-CHEMIE;10861;Nortr;Nortriptylin;µg/l;50;150;50;150
BLUT-CHEMIE;30317;Nortr;Nortriptylin;µmol/l;0.27;0.65;0.27;0.65
BLUT-CHEMIE;11523;Nortr;Nortriptylin;µmol/l;0.19;0.57;0.19;0.57
BLUT-CHEMIE;10877;Nortriptylin;Nortriptylin;µg/l;50;150;50;150
BLUT-CHEMIE;82;NSE;NSE;µg/l;<;12.5;<;12.5
BLUT-CHEMIE;10747;NSE1;NSE;µg/l;<;25;<;25
BLUT-CHEMIE;10748;NSE5;NSE;µg/l;<;20;<;20
BLUT-CHEMIE;10749;NSE8;NSE;µg/l;<;18;<;18
BLUT-CHEMIE;32014;NT-pro BNP;NT-pro BNP;pg/ml;;;;
BLUT-CHEMIE;22394;O-DESMETH; O-Desmethylvenlafaxin;µmol/l;;;;
BLUT-CHEMIE;13895;Olanzapin; Olanzapin;nmol/l;64;256;64;256
BLUT-CHEMIE;38223;OlanzapinTitel;Olanzapin;;;;;
BLUT-CHEMIE;12503;OPG;OPG;;;;;
BLUT-CHEMIE;10878;Opipramol;Opipramol;µg/l;50;200;50;200
BLUT-CHEMIE;11524;Opipramol;Opipramol;µmol/l;0.14;0.56;0.14;0.56
BLUT-CHEMIE;29;OSMO;Osmolalität;mOsm/kg;280;295;280;295
BLUT-CHEMIE;11942;Ospolot;Ospolot;mg/l;6;10;6;10
BLUT-CHEMIE;12257;OSTA;Ostase;µg/l;<;20.2;;
BLUT-CHEMIE;22383;OSTA;Ostase;µg/l;5.7;32.9;4.7;27.1
BLUT-CHEMIE;41849;OSTA;Ostase;µg/l;;;;
BLUT-CHEMIE;41853;OSTA0-4;Ostase;µg/l;24.3;83.8;24.4;63.5
BLUT-CHEMIE;22384;OSTA0-4;Ostase;µg/l;37.2;127.7;37.4;96.8
BLUT-CHEMIE;41857;OSTA11-12;Ostase;µg/l;34.9;103;15.7;87.5
BLUT-CHEMIE;22389;OSTA11-12;Ostase;µg/l;53.3;156.8;24.2;133.3
BLUT-CHEMIE;41858;OSTA13-14;Ostase;µg/l;50.8;111.5;12.8;60.8
BLUT-CHEMIE;22390;OSTA13-14;Ostase;µg/l;77.5;169.8;19.8;92.7
BLUT-CHEMIE;22391;OSTA15-16;Ostase;µg/l;26.8;173.4;11.2;30.2
BLUT-CHEMIE;41859;OSTA15-16;Ostase;µg/l;17.4;113.9;7.2;19.7
BLUT-CHEMIE;22392;OSTA17-18;Ostase;µg/l;15.4;69.8;8.8;29
BLUT-CHEMIE;41860;OSTA17-18;Ostase;µg/l;9.9;45.7;5.6;18.9
BLUT-CHEMIE;41851;OSTA18+;Ostase;µg/l;5.5;24.6;5.5;24.6
BLUT-CHEMIE;29891;OSTA19-20;Ostase;µg/l;12.2;36.6;7.7;16.8
BLUT-CHEMIE;22385;OSTA5-6;Ostase;µg/l;42;104.2;31.4;100.8
BLUT-CHEMIE;41854;OSTA5-6;Ostase;µg/l;27.4;68.4;20.5;66.1
BLUT-CHEMIE;22387;OSTA7-8;Ostase;µg/l;59;101.3;44;135.8
BLUT-CHEMIE;41855;OSTA7-8;Ostase;µg/l;38.6;66.5;28.8;89.1
BLUT-CHEMIE;22388;OSTA9-10;Ostase;µg/l;50.4;133;47.9;150.8
BLUT-CHEMIE;41856;OSTA9-10;Ostase;µg/l;33;87.3;31.3;99
BLUT-CHEMIE;10745;OSTC;Osteocalcin;µg/l;3;14;3;14
BLUT-CHEMIE;10750;OSTC;Osteocalcin;µg/l;2.8;41;2.8;41
BLUT-CHEMIE;18088;OSTC;Osteocalcin;µg/l;<;11;<;11
BLUT-CHEMIE;29951;OSTCmid;Osteocalcin;µg/l;4.6;65.4;;
BLUT-CHEMIE;38140;Oxazepam;Oxazepam;ng/ml;200;1500;200;1500
BLUT-CHEMIE;294;OXCARBA;Oxcarbazepin;mg/l;5;30;5;30
BLUT-CHEMIE;13388;OXCARBA;Oxcarbazepin;µmol/l;49;140;49;140
BLUT-CHEMIE;21272;OXCARBA;Oxcarbazepin;mg/l;;;;
BLUT-CHEMIE;13791;OXCARBA;Oxcarbazepin;;;;;
BLUT-CHEMIE;36860;OXCARMONO;Oxcarba+10-OH-Carba;mg/l;10;35;10;35
BLUT-CHEMIE;21609;Palip;Paliperidon;nmol/l;50;150;50;150
BLUT-CHEMIE;36520;Palip;Paliperidon (9-OH-Risp.);nmol/l;47;141;47;141
BLUT-CHEMIE;32666;Palip;Paliperidon (9-OH-Risp.);nmol/l;50;150;50;150
BLUT-CHEMIE;14593;PAMY-AU;a-Amylase Pancreas;U/l;<;46;<;46
BLUT-CHEMIE;14225;PA-PP-A;Pregnancy Associated Plasma Protein;mIE/l;<;14;<;14
BLUT-CHEMIE;37317;PAPP-A; PAPP-A;IU/l;;;;
BLUT-CHEMIE;35347;PARACET;Paracetamol;mg/l;<;2;<;2
BLUT-CHEMIE;21384;PARACET;Paracetamol;mg/l;2.5;25;2.5;25
BLUT-CHEMIE;18341;PARACET;Paracetamol;µmol/l;66;132;66;132
BLUT-CHEMIE;36523;Paroxetin;Paroxetin;nmol/l;61;198;61;198
BLUT-CHEMIE;10882;Paroxetin;Paroxetin;µg/l;0.1;150;0.1;150
BLUT-CHEMIE;22971;Paroxetin;Paroxetin;nmol/l;91;365;91;365
BLUT-CHEMIE;34946;PBNP;NT-pro BNP;ng/l;;;;
BLUT-CHEMIE;43017;PCT DxI;Procalcitonin quant. (PCT);µg/l;<;0.5;<;0.5
BLUT-CHEMIE;12240;PCT quant.;Procalcitonin quant.;µg/l;<;0.5;<;0.5
BLUT-CHEMIE;42465;PCT quant.;Procalcitonin quant.;µg/l;<;0.5;<;0.5
BLUT-CHEMIE;37647;PCT quant. 04h;Procalcitonin quant.;µg/l;<;0.5;<;0.5
BLUT-CHEMIE;11353;PElast;Pankreas-Elastase;µg/l;<;3.5;<;3.5
BLUT-CHEMIE;41962;Peramp;Perampanel;µg/ml;0.18;0.98;0.18;0.98
BLUT-CHEMIE;13596;Perphenazin;Perphenazin;mg/l;0.001;0.02;0.001;0.02
BLUT-CHEMIE;11996;PGN;Progesteron;nmol/l;;;;
BLUT-CHEMIE;14791;Pheno;Phenobarbital;mg/l;15;40;15;40
BLUT-CHEMIE;14794;Pheny-AU;Phenytoin;mg/l;10;20;10;20
BLUT-CHEMIE;14594;Phos-AU;Phosphat;mmol/l;0.8;1.5;0.8;1.5
BLUT-CHEMIE;14673;Phos-10T;Phosphat;mmol/l;1.5;2.9;1.5;2.9
BLUT-CHEMIE;14675;Phos-12J;Phosphat;mmol/l;1.4;1.8;1.4;1.8
BLUT-CHEMIE;14674;Phos-2J;Phosphat;mmol/l;1.5;2.2;1.5;2.2
BLUT-CHEMIE;12502;PIIINP;PIIINP;U/ml;0.3;0.8;0.3;0.8
BLUT-CHEMIE;31212;PIIIP;Prokollagen-III Peptid;µg/l;;;;
BLUT-CHEMIE;31213;PIIIP 0 - 10 Jahre;Prokollagen-III Peptid;µg/l;5.1;91.5;5.1;91.5
BLUT-CHEMIE;36020;PIIIP 0 - 10 Jahre;Prokollagen-III Peptid;µg/l;2.4;48.8;2.4;48.8
BLUT-CHEMIE;31214;PIIIP 11 - 15 Jahre;Prokollagen-III Peptid;µg/l;9.6;25.5;9.6;25.5
BLUT-CHEMIE;36021;PIIIP 11 - 15 Jahre;Prokollagen-III Peptid;µg/l;4.8;13.6;4.8;13.6
BLUT-CHEMIE;31215;PIIIP 16 - 19 Jahre;Prokollagen-III Peptid;µg/l;5.5;27;5.5;27
BLUT-CHEMIE;36022;PIIIP 16 - 20 Jahre;Prokollagen-III Peptid;µg/l;3.2;14.4;3.2;14.4
BLUT-CHEMIE;31216;PIIIP 20 - 99 Jahre;Prokollagen-III Peptid;µg/l;4.5;12;4.5;12
BLUT-CHEMIE;36023;PIIIP 21 - 99 Jahre;Prokollagen-III Peptid;µg/l;2.4;6.4;2.4;6.4
BLUT-CHEMIE;21984;Pipa;Pipamperon;µmol/l;0.27;1.06;0.27;1.06
BLUT-CHEMIE;27170;PLAP;Placenta-Phosphatase alk.;mU/l;<;100;<;100
BLUT-CHEMIE;36652;PlGF; PlGF;ng/l;;;;
BLUT-CHEMIE;38507;PMX Score;Proclarix Risk Score;%;<;10;<;10
BLUT-CHEMIE;33547;Posa;Posaconazol;mg/l;;;;
BLUT-CHEMIE;12590;PP;Pankr. Polypeptid;pmol/L;<;100;<;100
BLUT-CHEMIE;19593;PP;Pankr. Polypeptid;pg/ml;<;210;<;210
BLUT-CHEMIE;22352;PP;Pankr. Polypeptid;pg/ml;<;418;<;418
BLUT-CHEMIE;121;PPL;Phospholipide;mmol/l;2;3.7;2;3.7
BLUT-CHEMIE;37681;praetitel;Präeklampsie-Risiko;;;;;
BLUT-CHEMIE;21647;Prami;Pramipexol;ng/l;;;;
BLUT-CHEMIE;11488;Präziiptin;Präzipitin;;;;;
BLUT-CHEMIE;144;PREALB;Präalbumin;g/l;0.21;0.41;0.21;0.41
BLUT-CHEMIE;20200;PREG;17-OH-Pregnenolon;nmol/l;<;8.4;<;8.4
BLUT-CHEMIE;20347;Pregaba;Pregabalin   (Lyrica);µmol/l;13;75;;
BLUT-CHEMIE;29541;Pregaba;Pregabalin  (Lyrica);mg/l;2;5;2;5
BLUT-CHEMIE;13622;PREG00;17-OH-Pregnenolon;nmol/l;1.5;25;1.5;25
BLUT-CHEMIE;22148;PREG0-1;17-OH-Pregnenolon;nmol/l;<;24.93;<;24.93
BLUT-CHEMIE;22149;PREG1-11;17-OH-Pregnenolon;nmol/l;1.08;22.86;1.08;22.86
BLUT-CHEMIE;22151;PREG16;17-OH-Pregnenolon;nmol/l;0.9;10.53;0.9;10.53
BLUT-CHEMIE;22150;PREG2-15;17-OH-Pregnenolon;nmol/l;0.45;7.07;0.45;7.07
BLUT-CHEMIE;13623;PREG8-15;17-OH-Pregnenolon;nmol/l;0.3;5.7;0.3;5.7
BLUT-CHEMIE;30141;PRIMI;Primidon;µmol/l;23;46;23;46
BLUT-CHEMIE;39;PRIMI;Primidon;mg/l;5;15;5;15
BLUT-CHEMIE;20927;PRIMI;Primidon;µmol/l;23;55;23;55
BLUT-CHEMIE;12185;PRO-BNP;pro BNP;ng/l;<;100;<;150
BLUT-CHEMIE;12186;PRO-BNP;pro BNP;ng/l;<;200;<;300
BLUT-CHEMIE;22972;ProInsulin;Proinsulin;pmol/l;<;11;<;11
BLUT-CHEMIE;17946;ProInsulin;Proinsulin;pmol/l;<;11;<;11
BLUT-CHEMIE;10627;Prol Knaben;Prolactin (PRL);µg/l;;;;
BLUT-CHEMIE;10626;Prol Mädchen;Prolactin (PRL);µg/l;;;;
BLUT-CHEMIE;13942;Prol-DXI;Prolactin (PRL);µg/l;;;;
BLUT-CHEMIE;14138;Prol-DXI nach;Prolactin nach Stim.;µg/l;;;;
BLUT-CHEMIE;16117;Prol-DXI-Frauen;Prolactin (PRL);µg/l;<;20;<;20
BLUT-CHEMIE;16050;Prol-DXI-Männer;Prolactin (PRL);µg/l;<;15;;
BLUT-CHEMIE;14022;Prol-DXI-PEG;Prolactin nach PEG;%;;;;
BLUT-CHEMIE;14021;Prol-DXI-PEG;Prolactin nach PEG;µg/l;;;;
BLUT-CHEMIE;240;ProlN;Prolactin n. Stim.;µg/l;;;;
BLUT-CHEMIE;20592;Promazin;Promazin;µmol/l;0.35;1.41;0.35;1.41
BLUT-CHEMIE;11054;PROPYPH;Propyphenazon;µg/l;1.5;12.5;1.5;12.5
BLUT-CHEMIE;12576;PROT-EP;Protein-EP;;;;;
BLUT-CHEMIE;36666;PROT-EP;Protein-EP;;;;;
BLUT-CHEMIE;36654;PROT-EP-ALB; Albumin;%;55.8;66.1;55.8;66.1
BLUT-CHEMIE;36655;PROT-EP-ALB; Albumin;g/l;40.2;47.6;40.2;47.6
BLUT-CHEMIE;12616;PROT-EP-ALB; Albumin;g/l;32;53;32;53
BLUT-CHEMIE;12587;PROT-EP-ALB; Albumin;%;51;80;51;80
BLUT-CHEMIE;36658;PROT-EP-A1; Alpha-2-Globuline;%;7.1;11.8;7.1;11.8
BLUT-CHEMIE;36659;PROT-EP-A1; Alpha-2-Globuline;g/l;5.1;8.5;5.1;8.5
BLUT-CHEMIE;36656;PROT-EP-A1; Alpha-1-Globuline;%;2.9;4.9;2.9;4.9
BLUT-CHEMIE;36657;PROT-EP-A1; Alpha-1-Globuline;g/l;2.1;3.5;2.1;3.5
BLUT-CHEMIE;12580;PROT-EP-A1; Alpha 1;g/l;1.9;5.8;1.9;5.8
BLUT-CHEMIE;12581;PROT-EP-A1; Alpha 1;%;2;7;2;7
BLUT-CHEMIE;12582;PROT-EP-A2; Alpha 2;%;7;15;7;15
BLUT-CHEMIE;12583;PROT-EP-A2; Alpha 2;g/l;4.4;12.5;4.4;12.5
BLUT-CHEMIE;36660;PROT-EP-B; Beta-1-Globuline;%;4.7;7.2;4.7;7.2
BLUT-CHEMIE;36661;PROT-EP-B; Beta-1-Globuline;g/l;3.4;5.2;3.4;5.2
BLUT-CHEMIE;36662;PROT-EP-B; Beta-2-Globuline;%;3.2;6.5;3.2;6.5
BLUT-CHEMIE;36663;PROT-EP-B; Beta-2-Globuline;g/l;2.3;4.7;2.3;4.7
BLUT-CHEMIE;12584;PROT-EP-B; Beta;%;10;16;10;16
BLUT-CHEMIE;12585;PROT-EP-B; Beta;g/l;6.3;13.3;6.3;13.3
BLUT-CHEMIE;36664;PROT-EP-G; Gamma-Globuline;%;11.1;18.8;11.1;18.8
BLUT-CHEMIE;36665;PROT-EP-G; Gamma-Globuline;g/l;8;13.5;8;13.5
BLUT-CHEMIE;12615;PROT-EP-G; Gamma;g/l;6.3;14.9;6.3;14.9
BLUT-CHEMIE;12586;PROT-EP-G; Gamma;%;10;18;10;18
BLUT-CHEMIE;12577;PROT-EP-GEL; Gel;;;;;
BLUT-CHEMIE;12617;PROT-EP-K; Kommentar Protein-EP;;;;;
BLUT-CHEMIE;12578;PROT-EP-KURVE; Densitogramm;;;;;
BLUT-CHEMIE;252;PSA-AXSYM;PSA alt;µg/l;<;2;<;2
BLUT-CHEMIE;14099;PSA-DXI;PSA;µg/l;<;2;<;2
BLUT-CHEMIE;16041;PSA-DXI;PSA;µg/l;<;5;<;5
BLUT-CHEMIE;233;PSAF-AXSYM;PSA frei (AxSYM);µg/l;;;;
BLUT-CHEMIE;14098;PSAF-DXI;PSA frei;µg/l;;;;
BLUT-CHEMIE;14195;PSAF/PSA-DXI;PSA frei/PSA;;>;0.26;;
BLUT-CHEMIE;11031;PSAF/PSA<4;PSA frei/PSA (AxSYM);;>;0.1;;
BLUT-CHEMIE;11032;PSAF/PSA>4;PSA frei/PSA;;>;0.26;;
BLUT-CHEMIE;14209;PSAF/PSA<4-DXI;PSA frei/PSA;;>;0.1;;
BLUT-CHEMIE;14210;PSAF/PSA>4-DXI;PSA frei/PSA;;>;0.26;;
BLUT-CHEMIE;12203;PTH;PTH intact;ng/l;15;65;15;65
BLUT-CHEMIE;21587;PTH;PTH (Entnahme + Laboretikette );ng/l;15;65;15;65
BLUT-CHEMIE;17763;PTH-DXI;PTH intact;ng/l;15;65;15;65
BLUT-CHEMIE;37634;PTH-DXI-8h;PTH intact;ng/l;15;65;15;65
BLUT-CHEMIE;30418;PTHrp;PTH related peptide;pmol/l;<;1.3;<;1.3
BLUT-CHEMIE;27433;PYRAZIN;Pyrazinamid;mg/l;;;;
BLUT-CHEMIE;33915;PYRUK;Pyruvatkinase;U/l Ec;1400;10900;1400;10900
BLUT-CHEMIE;15643;PYRUK;Pyruvatkinase;U/l Ec;1800;11900;1800;11900
BLUT-CHEMIE;11476;PYRUK;Pyruvatkinase;U/l Ec;3100;5500;3100;5500
BLUT-CHEMIE;31075;P1NP;Prokollagen Typ 1 (P1NP);µg/l;15;59;15;59
BLUT-CHEMIE;29603;P1NP;Prokollagen Typ 1 (P1NP);µg/l;21;78;19;102
BLUT-CHEMIE;27312;P1NP;Prokollagen Typ 1 (P1NP);µg/l;19;102;19;102
BLUT-CHEMIE;14534;Quecksilber;Quecksilber;nmol/l;<;10;<;10
BLUT-CHEMIE;22182;QUET;Quetiapin;nmol/l;261;1305;261;1305
BLUT-CHEMIE;38230;QUETTitel;Quetiapin:;;;;;
BLUT-CHEMIE;162;RBP;RBP;mg/l;30;60;30;60
BLUT-CHEMIE;36509;Rebox;Reboxetin;nmol/l;192;1118;192;1118
BLUT-CHEMIE;21559;Rebox;Reboxetin;nmol/l;32;320;32;320
BLUT-CHEMIE;30104;Renin;Renin, direkt;mlU/l;;;;
BLUT-CHEMIE;21603;Renin;Renin direkt (Entnahme + Laboretikette );mU/l;;;;
BLUT-CHEMIE;21944;Renin;Renin, aktives:;ng/l;;;;
BLUT-CHEMIE;11493;Renin;Renin direkt:;mU/l;;;;
BLUT-CHEMIE;13784;Renin liegend; liegend;ng/ml/h;0.51;2.64;0.51;2.64
BLUT-CHEMIE;12194;Renin liegend; liegend;mU/l;2.4;29;2.4;29
BLUT-CHEMIE;30107;Renin liegend; liegend;mlU/l;2.8;39.9;2.8;39.9
BLUT-CHEMIE;21946;Renin nach Bel; nach Belastung;ng/l;4.2;46;4.2;46
BLUT-CHEMIE;21945;Renin nach Ruhe; nach Ruhe;ng/l;3;28;3;28
BLUT-CHEMIE;13789;Renin ohne; ohne Angabe;ng/ml/h;;;;
BLUT-CHEMIE;13790;Renin ohne; ohne Angabe;mU/l;;;;
BLUT-CHEMIE;30108;Renin stehend; stehend;mlU/l;4.4;46.1;4.4;46.1
BLUT-CHEMIE;13785;Renin stehend; stehend;ng/ml/h;0.98;4.18;0.98;4.18
BLUT-CHEMIE;12195;Renin stehend; stehend;mU/l;3.3;41;3.3;41
BLUT-CHEMIE;29832;Renin-Eval;Renin (Liaison Eval.);ng/l;;;;
BLUT-CHEMIE;21876;Riba;Ribavirin;mg/l;;;;
BLUT-CHEMIE;27434;RIFAMP;Rifampicin + Metaboliten;mg/l;;;;
BLUT-CHEMIE;15354;Risperidon;Risperidon;nmol/l;;;;
BLUT-CHEMIE;38644;Risperi-Titel;Risperidon:;;;;;
BLUT-CHEMIE;29825;Risp+9-OH;Risperidon+9-OH-Risp.;nmol/l;50;150;50;150
BLUT-CHEMIE;37612;rmet;Risikomarker 1. Trimester;;;;;
BLUT-CHEMIE;22117;RPT;PTH rapid;ng/l;15;65;15;65
BLUT-CHEMIE;20599;RST;RST Röhrchen;Tage;;;;
BLUT-CHEMIE;35358;Rufinamid;Rufinamid;mg/l;5;30;5;30
BLUT-CHEMIE;21273;SC;Salicylat;mmol/l;0.2;2.2;0.2;2.2
BLUT-CHEMIE;20767;SCC;SCC;µg/l;<;1.5;<;1.5
BLUT-CHEMIE;15595;ß-CTx;ß-CrossLaps (ß-CTx);µg/l;;;;
BLUT-CHEMIE;41845;ß-CTx;ß-CrossLaps (ß-CTx);µg/l;;;;
BLUT-CHEMIE;20886;ß-CTx;ß-CrossLaps (ß-CTx);µg/l;;;;
BLUT-CHEMIE;43506;sC5b9;sC5b-9;µg/l;80;350;80;350
BLUT-CHEMIE;22436;Se-AAS;Selen;µmol/l;0.94;1.77;0.94;1.77
BLUT-CHEMIE;20460;SE-AL1;Interset Studie 1;Position;;;;
BLUT-CHEMIE;20461;SE-AL2;Interset Studie 2;Position;;;;
BLUT-CHEMIE;20462;SE-AL3;Interset Studie 3;Position;;;;
BLUT-CHEMIE;20463;SE-AL4;Interset Studie 4;Position;;;;
BLUT-CHEMIE;20464;SE-AL5;Interset Studie 5;Position;;;;
BLUT-CHEMIE;13771;Selen;Selen;µmol/l;0.94;1.77;0.94;1.77
BLUT-CHEMIE;22437;Selen1;Selen;µmol/l;0.41;1.28;0.41;1.28
BLUT-CHEMIE;12166;Selen1;Selen;µmol/l;0.41;1.28;0.41;1.28
BLUT-CHEMIE;12165;Selen120;Selen;µmol/l;0.23;0.81;0.23;0.81
BLUT-CHEMIE;22438;Selen120;Selen;µmol/l;0.23;0.81;0.23;0.81
BLUT-CHEMIE;22439;Selen16;Selen;µmol/l;0.88;1.54;0.88;1.54
BLUT-CHEMIE;12168;Selen16;Selen;µmol/l;0.88;1.54;0.88;1.54
BLUT-CHEMIE;22440;Selen5;Selen;µmol/l;0.74;1.47;0.74;1.47
BLUT-CHEMIE;12167;Selen5;Selen;µmol/l;0.74;1.47;0.74;1.47
BLUT-CHEMIE;29616;Serot;Serotonin;nmol/l;227;1130;227;1130
BLUT-CHEMIE;21558;SEROTHEK;Serothek INTEREST;;;;;
BLUT-CHEMIE;13772;SEROTONIN;Serotonin;µg/l;40;200;40;200
BLUT-CHEMIE;21271;Sert;Sertindol;;;;;
BLUT-CHEMIE;41834;Sertralin;Sertralin;µmol/l;0.03;0.49;0.03;0.49
BLUT-CHEMIE;13890;Sertralin;Sertralin;µmol/l;0.03;0.16;0.03;0.16
BLUT-CHEMIE;10879;Sertralin;Sertralin;µg/l;30;190;30;190
BLUT-CHEMIE;22242;Sertralin; Sertralin;µmol/l;0.03;0.49;0.03;0.49
BLUT-CHEMIE;41837;Sertra-Titel;Sertralin:;;;;;
BLUT-CHEMIE;38262;Sertra-Titel;Sertralin:;;;;;
BLUT-CHEMIE;10880;Sertr/Desm;Sertralin/Desmethylsertralin;;0.24;0.85;0.24;0.85
BLUT-CHEMIE;21493;SE-ST;Serum - holen;Tage;;;;
BLUT-CHEMIE;19488;SE-5;Serothek ;Tage;;;;
BLUT-CHEMIE;36653;sFlt-PlGF; sFlt-1/PlGF-Ratio;;<;38;<;38
BLUT-CHEMIE;36651;sFlt-1; sFlt-1;ng/l;;;;
BLUT-CHEMIE;21801;SHBG;SHBG;nmol/l;10;57;18;144
BLUT-CHEMIE;148;SHBG;SHBG;nmol/l;10;73;16;120
BLUT-CHEMIE;32505;SHBG-DXI;SHBG;nmol/l;13.3;89.5;;
BLUT-CHEMIE;39035;sIL2R;sIL-2R  (löslicher IL-2 Rezeptor);ng/mL;1.2;8.8;1.2;8.8
BLUT-CHEMIE;12394;Sirolimus;Sirolimus;µg/l;;;;
BLUT-CHEMIE;37989;snse2;Estradiol;pmol/l;;;;
BLUT-CHEMIE;40581;snse2-F-0-19;Estradiol;pmol/l;;;;
BLUT-CHEMIE;40582;snse2-F-19-999;Estradiol;pmol/l;;;;
